,index,full_date,Date,Month,Week #,Day,Year,Event,Staff Supervisor,Event Coordinator,DA Speaking?,Time,Briefing,Location,Location_Parse,location_parse,address_string,zip,county,state,city,Latitude,Longitude,Accuracy Score,County,Source,review,is_zoom,Manually Add Address,dedupe_mask,is_zoom_v2,is_blank,lat_long_gmaps
2999,2999,9/4/2020,4-Sep,9,36,Fri,2020,Hinton Park Food Drive,Cathleen,NYPD Community Affairs,YES,12:00 PM,Cathleen,Hinton Park 34-02 114th St. Corona NY 11368,"[('Hinton', 'BuildingName'), ('Park', 'BuildingName'), ('34-02', 'AddressNumber'), ('114th', 'StreetName'), ('St.', 'StreetNamePostType'), ('Corona', 'PlaceName'), ('NY', 'StateName'), ('11368', 'ZipCode')]","[('Hinton', 'BuildingName'), ('Park', 'BuildingName'), ('34-02', 'AddressNumber'), ('114th', 'StreetName'), ('St.', 'StreetNamePostType'), ('Corona', 'PlaceName'), ('NY', 'StateName'), ('11368', 'ZipCode')]",34-02 114th St. Corona,11368,Queens,New York,New York City,40.755296,-73.854004,0.9,Queens County,TIGER/Line® dataset from the US Census Bureau,No Review Needed,FALSE,,CathleenNYPD Community AffairsSep-0412:00 PM,FALSE,FALSE,
3000,3000,9/7/2020,7-Sep,9,37,Mon,2020,Laurelton Farmer's Market Youth Day,Colleen,Leroy Comrie,YES,12:00,TARA,LIRR Market,"[('LIRR', 'Recipient'), ('Market', 'Recipient')]","[('LIRR', 'Recipient'), ('Market', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,ColleenLeroy ComrieSep-0712:00,FALSE,FALSE,
3001,3001,9/8/2020,8-Sep,9,37,Tue,2020,Community Board 4,Corey,CB 4,NO,7:00 PM,,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,CoreyCB 4Sep-087:00 PM,FALSE,FALSE,
3002,3002,9/8/2020,8-Sep,9,37,Tue,2020,Community Board 9,Muhammad,CB 9,NO,,,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,MuhammadCB 9Sep-08,FALSE,FALSE,
3003,3003,9/8/2020,8-Sep,9,37,Tue,2020,Community Board 14,Dan,CB 14,NO,,,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,DanCB 14Sep-08,FALSE,FALSE,
3004,3004,9/8/2020,8-Sep,9,37,Tue,2020,103rd  Precinct Community Council,Marlon,103 PCC,NO,,,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,Marlon103 PCCSep-08,FALSE,FALSE,
3005,3005,9/9/2020,9-Sep,9,37,Wed,2020,109  Precinct Community Council,Colleen,109 PCC,NO,,,,"[('nan', 'Recipient')]","[('nan', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,,,Colleen109 PCCSep-09,FALSE,TRUE,
3006,3006,9/9/2020,9-Sep,9,37,Wed,2020,Community Board 8,Muhammad,CB 8,NO,,,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,MuhammadCB 8Sep-09,FALSE,FALSE,
3007,3007,9/9/2020,9-Sep,9,37,Wed,2020,103  Precinct Community Council,Marlon,Bishop Erskine Williams,NO,7:00 PM,NO,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,MarlonBishop Erskine WilliamsSep-097:00 PM,FALSE,FALSE,
3008,3008,9/9/2020,9-Sep,9,37,Wed,2020,Community Board 5 Meeting,Marlon,Gary Giordano,NO,7:00 PM,NO,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,MarlonGary GiordanoSep-097:00 PM,FALSE,FALSE,
3009,3009,9/9/2020,9-Sep,9,37,Wed,2020,Community Board 6,Tara,Frank Gulluscio,NO,7:00 PM,,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,TaraFrank GulluscioSep-097:00 PM,FALSE,FALSE,
3010,3010,9/9/2020,9-Sep,9,37,Wed,2020,106 Precinct Community Council,Dan,,NO,7:00 PM,,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,DanSep-097:00 PM,FALSE,FALSE,
3011,3011,9/10/2020,10-Sep,9,37,Thu,2020,Rockaway Beach Civic Association,Dan,RBCA,NO,18:30,Dan,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,DanRBCASep-1018:30,FALSE,FALSE,
3012,3012,9/10/2020,10-Sep,9,37,Thu,2020,Build the Block 113 C,Cathleen,113 PCT,YES,5:00 PM,CATHLEEN,St. ALbans Park,"[('St.', 'BuildingName'), ('ALbans', 'BuildingName'), ('Park', 'BuildingName')]","[('St.', 'BuildingName'), ('ALbans', 'BuildingName'), ('Park', 'BuildingName')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,Cathleen113 PCTSep-105:00 PM,FALSE,FALSE,
3013,3013,9/10/2020,10-Sep,9,37,Thu,2020,Candlelight Memorial,Dirk,100  PCT,YES,7:00 PM,DIRK,McManus Mem. Park 81st Street & Ditmars Blvd.,"[('McManus', 'StreetName'), ('Mem.', 'StreetName'), ('Park', 'StreetName'), ('81st', 'StreetName'), ('Street', 'StreetNamePostType'), ('&', 'IntersectionSeparator'), ('Ditmars', 'StreetName'), ('Blvd.', 'StreetNamePostType')]","[('McManus', 'StreetName'), ('Mem.', 'StreetName'), ('Park', 'StreetName'), ('81st', 'StreetName'), ('Street', 'StreetNamePostType'), ('&', 'IntersectionSeparator'), ('Ditmars', 'StreetName'), ('Blvd.', 'StreetNamePostType')]",McManus Mem. Park 81st Street,,Queens,New York,New York City,40.7689903,-73.8886266,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,Dirk100  PCTSep-107:00 PM,FALSE,FALSE,"[40.7689903, -73.8886266]"
3014,3014,9/10/2020,10-Sep,9,37,Thu,2020,Rockaway Beach Civic Assoc. RBCA September Monthly Meeting,Dan,RBCA,NO,6:30 PM,,Zoom Due to Rain,"[('Zoom', 'Recipient'), ('Due', 'Recipient'), ('to', 'Recipient'), ('Rain', 'Recipient')]","[('Zoom', 'Recipient'), ('Due', 'Recipient'), ('to', 'Recipient'), ('Rain', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,DanRBCASep-106:30 PM,FALSE,FALSE,
3015,3015,9/10/2020,10-Sep,9,37,Thu,2020,Antares Asian Association ANti-Asian Hate Crimes Webinar,Dave,Dave,NO,7:00 PM,,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,DaveDaveSep-107:00 PM,FALSE,FALSE,
3016,3016,9/10/2020,10-Sep,9,37,Thu,2020,110  Precinct Community Council,Elizabeth,,NO,7:00 PM,,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,ElizabethSep-107:00 PM,FALSE,FALSE,
3017,3017,9/11/2020,11-Sep,9,37,Fri,2020,Candlelight Memorial Ceremony,Dan,106th Pct CC,YES,19:30,Dan,Our Lady of Grace Parking Lot 100th Street 159th Ave Howard Beach,"[('Our', 'Recipient'), ('Lady', 'Recipient'), ('of', 'Recipient'), ('Grace', 'Recipient'), ('Parking', 'Recipient'), ('Lot', 'Recipient'), ('100th', 'AddressNumber'), ('Street', 'StreetName'), ('159th', 'StreetName'), ('Ave', 'StreetNamePostType'), ('Howard', 'PlaceName'), ('Beach', 'PlaceName')]","[('Our', 'Recipient'), ('Lady', 'Recipient'), ('of', 'Recipient'), ('Grace', 'Recipient'), ('Parking', 'Recipient'), ('Lot', 'Recipient'), ('100th', 'AddressNumber'), ('Street', 'StreetName'), ('159th', 'StreetName'), ('Ave', 'StreetNamePostType'), ('Howard', 'PlaceName'), ('Beach', 'PlaceName')]",100th Street 159th Ave Howard Beach,,Queens,New York,New York City,40.6604601,-73.8327089,0.9,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,Dan106th Pct CCSep-1119:30,FALSE,FALSE,"[40.6604601, -73.8327089]"
3018,3018,9/11/2020,11-Sep,9,37,Fri,2020,9/11 Remembrance Ceremony 110th Pct CC,Colleen,106th PCC,YES,8:00,Tara,"94-41 43rd Street Elmhurst, NY 11373","[('94-41', 'AddressNumber'), ('43rd', 'StreetName'), ('Street', 'StreetNamePostType'), ('Elmhurst,', 'PlaceName'), ('NY', 'StateName'), ('11373', 'ZipCode')]","[('94-41', 'AddressNumber'), ('43rd', 'StreetName'), ('Street', 'StreetNamePostType'), ('Elmhurst,', 'PlaceName'), ('NY', 'StateName'), ('11373', 'ZipCode')]",94-41 43rd Street Elmhurst,11373,Queens,New York,New York City,40.745083,-73.870158,0.8,Queens County,City of New York,No Review Needed,FALSE,,Colleen106th PCCSep-118:00,FALSE,FALSE,
3019,3019,9/11/2020,11-Sep,9,37,Fri,2020,9/11 Memorial Prayer,Dan,NYPD 100th PCt,YES,11:00,Dan,116th Street Ocean Promenade,"[('116th', 'AddressNumber'), ('Street', 'StreetName'), ('Ocean', 'StreetName'), ('Promenade', 'StreetName')]","[('116th', 'AddressNumber'), ('Street', 'StreetName'), ('Ocean', 'StreetName'), ('Promenade', 'StreetName')]",116th Street Ocean Promenade,,Queens,New York,New York City,,,0.9,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,DanNYPD 100th PCtSep-1111:00,FALSE,FALSE,
3020,3020,9/11/2020,11-Sep,9,37,Fri,2020,110 PCT Comm Council,Colleen,100 PCT,YES,8:15 AM,TARA,110th PCT 94-41 43rd Ave. Elmhurst NY 11373,"[('110th', 'Recipient'), ('PCT', 'Recipient'), ('94-41', 'AddressNumber'), ('43rd', 'StreetName'), ('Ave.', 'StreetNamePostType'), ('Elmhurst', 'PlaceName'), ('NY', 'StateName'), ('11373', 'ZipCode')]","[('110th', 'Recipient'), ('PCT', 'Recipient'), ('94-41', 'AddressNumber'), ('43rd', 'StreetName'), ('Ave.', 'StreetNamePostType'), ('Elmhurst', 'PlaceName'), ('NY', 'StateName'), ('11373', 'ZipCode')]",94-41 43rd Ave. Elmhurst,11373,Queens,New York,New York City,40.745083,-73.870158,1,Queens County,City of New York,No Review Needed,FALSE,,Colleen100 PCTSep-118:15 AM,FALSE,FALSE,
3021,3021,9/11/2020,11-Sep,9,37,Fri,2020,"911 Memorial Prayer PBQS, PBQN,  &     107 PCT",Dan,Det. Duhaney,YES,11:00 AM,DAVE,116th St. & Ocean Promenade,"[('116th', 'StreetName'), ('St.', 'StreetNamePostType'), ('&', 'IntersectionSeparator'), ('Ocean', 'StreetName'), ('Promenade', 'StreetName')]","[('116th', 'StreetName'), ('St.', 'StreetNamePostType'), ('&', 'IntersectionSeparator'), ('Ocean', 'StreetName'), ('Promenade', 'StreetName')]",116th St.,,Queens,New York,New York City,,,0.9,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,DanDet. DuhaneySep-1111:00 AM,FALSE,FALSE,
3022,3022,9/11/2020,11-Sep,9,37,Fri,2020,106 PCT Candlelight Memorial,Dan,Frances Sorantino,NO,7:30 PM,,Our Lady of Grace Pkg Lot 100th St. b/w 158 & 159th Ave Howard Beach,"[('Our', 'Recipient'), ('Lady', 'Recipient'), ('of', 'Recipient'), ('Grace', 'Recipient'), ('Pkg', 'Recipient'), ('Lot', 'Recipient'), ('100th', 'AddressNumber'), ('St.', 'StreetName'), ('b/w', 'StreetName'), ('158', 'StreetName'), ('&', 'IntersectionSeparator'), ('159th', 'StreetName'), ('Ave', 'StreetNamePostType'), ('Howard', 'PlaceName'), ('Beach', 'PlaceName')]","[('Our', 'Recipient'), ('Lady', 'Recipient'), ('of', 'Recipient'), ('Grace', 'Recipient'), ('Pkg', 'Recipient'), ('Lot', 'Recipient'), ('100th', 'AddressNumber'), ('St.', 'StreetName'), ('b/w', 'StreetName'), ('158', 'StreetName'), ('&', 'IntersectionSeparator'), ('159th', 'StreetName'), ('Ave', 'StreetNamePostType'), ('Howard', 'PlaceName'), ('Beach', 'PlaceName')]",100th St. b/w 158  Howard Beach,,Queens,New York,New York City,40.6604601,-73.8327089,0.8,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,DanFrances SorantinoSep-117:30 PM,FALSE,FALSE,"[40.6604601, -73.8327089]"
3023,3023,9/11/2020,11-Sep,9,37,Fri,2020,Francis Lewis Park Whitestone,Dave,Insp.  Shine Friends of Francis Lewis Park,NO,8:00 PM,,3rd Ave & 147th Street Whitestone,"[('3rd', 'AddressNumber'), ('Ave', 'StreetNamePreType'), ('&', 'StreetName'), ('147th', 'StreetName'), ('Street', 'StreetNamePostType'), ('Whitestone', 'PlaceName')]","[('3rd', 'AddressNumber'), ('Ave', 'StreetNamePreType'), ('&', 'StreetName'), ('147th', 'StreetName'), ('Street', 'StreetNamePostType'), ('Whitestone', 'PlaceName')]",3rd & 147th Street Whitestone,,Queens,New York,New York City,40.7962487,-73.822996,0.8,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,DaveInsp.  Shine Friends of Francis Lewis ParkSep-118:00 PM,FALSE,FALSE,"[40.7962487, -73.822996]"
3024,3024,9/12/2020,12-Sep,9,37,Sat,2020,Rumble on the Courts Peace in the Streets Basketball Tournament,Dave,NYPD Community Affairs,YES,10:00,Dave,Daniel O'Connell Park 113-01 196th Street,"[('Daniel', 'Recipient'), (""O'Connell"", 'Recipient'), ('Park', 'Recipient'), ('113-01', 'AddressNumber'), ('196th', 'StreetName'), ('Street', 'StreetNamePostType')]","[('Daniel', 'Recipient'), (""O'Connell"", 'Recipient'), ('Park', 'Recipient'), ('113-01', 'AddressNumber'), ('196th', 'StreetName'), ('Street', 'StreetNamePostType')]",113-01 196th Street,,Queens,New York,New York City,40.6999581,-73.7582662,0.7,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,DaveNYPD Community AffairsSep-1210:00,FALSE,FALSE,"[40.6999581, -73.75826620000001]"
3025,3025,9/12/2020,12-Sep,9,37,Sat,2020,NAVA Food Distribution School Bag Giveaway,Cathleen,Dilip Nath,YES,10:00,Cathleen,"Major Mark Park 173-175 Hillside Ave, NY 11434","[('Major', 'Recipient'), ('Mark', 'Recipient'), ('Park', 'Recipient'), ('173-175', 'AddressNumber'), ('Hillside', 'StreetName'), ('Ave,', 'StreetNamePostType'), ('NY', 'StateName'), ('11434', 'ZipCode')]","[('Major', 'Recipient'), ('Mark', 'Recipient'), ('Park', 'Recipient'), ('173-175', 'AddressNumber'), ('Hillside', 'StreetName'), ('Ave,', 'StreetNamePostType'), ('NY', 'StateName'), ('11434', 'ZipCode')]",173-175 Hillside Ave,11434,Queens,New York,New York City,40.674583,-73.78156,0.25,Queens County,TIGER/Line® dataset from the US Census Bureau,No Review Needed,FALSE,,CathleenDilip NathSep-1210:00,FALSE,FALSE,
3026,3026,9/12/2020,12-Sep,9,37,Sat,2020,Rumble on the Court Basketball Tournament,Dave,Officer Sylman/ James Johnson,YES,10:00 AM,DAVE,O'Connell Park 113-01 196th Street,"[(""O'Connell"", 'Recipient'), ('Park', 'Recipient'), ('113-01', 'AddressNumber'), ('196th', 'StreetName'), ('Street', 'StreetNamePostType')]","[(""O'Connell"", 'Recipient'), ('Park', 'Recipient'), ('113-01', 'AddressNumber'), ('196th', 'StreetName'), ('Street', 'StreetNamePostType')]",113-01 196th Street,,Queens,New York,New York City,40.6999581,-73.7582662,0.7,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,DaveOfficer Sylman/ James JohnsonSep-1210:00 AM,FALSE,FALSE,"[40.6999581, -73.75826620000001]"
3027,3027,9/12/2020,12-Sep,9,37,Sat,2020,SouthEast Queens Jam Fest,Colleen,Patrick Scorese Courtney Ffrench,TBD,5:30 PM,DIRK,Jamaica Arts Center 153-10 Jamaica Ave.  OUTDOORS,"[('Jamaica', 'Recipient'), ('Arts', 'Recipient'), ('Center', 'Recipient'), ('153-10', 'AddressNumber'), ('Jamaica', 'StreetName'), ('Ave.', 'StreetNamePostType'), ('OUTDOORS', 'PlaceName')]","[('Jamaica', 'Recipient'), ('Arts', 'Recipient'), ('Center', 'Recipient'), ('153-10', 'AddressNumber'), ('Jamaica', 'StreetName'), ('Ave.', 'StreetNamePostType'), ('OUTDOORS', 'PlaceName')]",153-10 Jamaica Ave. OUTDOORS,,Queens,New York,New York City,40.70334,-73.800201,0.8,Queens County,TIGER/Line® dataset from the US Census Bureau,No Review Needed,FALSE,,ColleenPatrick Scorese Courtney FfrenchSep-125:30 PM,FALSE,FALSE,
3028,3028,9/13/2020,13-Sep,9,37,Sun,2020,Aigner Chocolate,Dirk,Aigner Chocolate,NO,1-3 PM,DIRK,Forest Hills,"[('Forest', 'BuildingName'), ('Hills', 'BuildingName')]","[('Forest', 'BuildingName'), ('Hills', 'BuildingName')]",,,Queens,New York,New York City,40.718106,-73.8448469,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,DirkAigner ChocolateSep-131-3 PM,FALSE,FALSE,"[40.718106, -73.8448469]"
3029,3029,9/14/2020,14-Sep,9,38,Mon,2020,Community Board 7,Elizabeth,,NO,5:00 PM,,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,ElizabethSep-145:00 PM,FALSE,FALSE,
3030,3030,9/14/2020,14-Sep,9,38,Mon,2020,Community Board 11,Dan,,NO,7:30 PM,,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,DanSep-147:30 PM,FALSE,FALSE,
3031,3031,9/14/2020,14-Sep,9,38,Mon,2020,103  Precinct Community Council,Marlon,,NO,7:00 PM,,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,MarlonSep-147:00 PM,FALSE,FALSE,
3032,3032,9/15/2020,15-Sep,9,38,Tue,2020,104  Precinct Community Council,Colleen,,NO,7:30 PM,,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,ColleenSep-157:30 PM,FALSE,FALSE,
3033,3033,9/15/2020,15-Sep,9,38,Tue,2020,115th  Precinct Community Council,Cathleen,,NO,6:00 PM,,92-15 Northern Blvd. PCT Pkg Lot,"[('92-15', 'AddressNumber'), ('Northern', 'StreetName'), ('Blvd.', 'StreetNamePostType'), ('PCT', 'Recipient'), ('Pkg', 'Recipient'), ('Lot', 'Recipient')]","[('92-15', 'AddressNumber'), ('Northern', 'StreetName'), ('Blvd.', 'StreetNamePostType'), ('PCT', 'Recipient'), ('Pkg', 'Recipient'), ('Lot', 'Recipient')]",92-15 Northern Blvd.,,Queens,New York,New York City,40.7568764,-73.8754942,0.5,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,CathleenSep-156:00 PM,FALSE,FALSE,"[40.7568764, -73.87549419999999]"
3034,3034,9/15/2020,15-Sep,9,38,Tue,2020,102  Precinct Community Council,Elizabeth,,NO,5:45 PM,,87-34 118th Street,"[('87-34', 'AddressNumber'), ('118th', 'StreetName'), ('Street', 'StreetNamePostType')]","[('87-34', 'AddressNumber'), ('118th', 'StreetName'), ('Street', 'StreetNamePostType')]",87-34 118th Street,,Queens,New York,New York City,,,0.8,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,ElizabethSep-155:45 PM,FALSE,FALSE,
3035,3035,9/15/2020,15-Sep,9,38,Tue,2020,Muslim Community Network,Imran,MCN,YES,7:00 PM,Brovner,Virtual,"[('Virtual', 'PlaceName')]","[('Virtual', 'PlaceName')]",Virtual,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,ImranMCNSep-157:00 PM,TRUE,FALSE,
3036,3036,9/15/2020,15-Sep,9,38,Tue,2020,Community Board 1,Corey,,NO,6:30 PM,,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,CoreySep-156:30 PM,FALSE,FALSE,
3037,3037,9/16/2020,16-Sep,9,38,Wed,2020,101  Precinct Community Council,Dan,,NO,7:00 PM,,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,DanSep-167:00 PM,FALSE,FALSE,
3038,3038,9/16/2020,16-Sep,9,38,Wed,2020,112  Precinct Community Council,Imran,,NO,7:00 PM,,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,ImranSep-167:00 PM,FALSE,FALSE,
3039,3039,9/16/2020,16-Sep,9,38,Wed,2020,Community Board 12,Cathleen,,NO,7:00 PM,,Facebook Live,"[('Facebook', 'Recipient'), ('Live', 'Recipient')]","[('Facebook', 'Recipient'), ('Live', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,CathleenSep-167:00 PM,FALSE,FALSE,
3040,3040,9/16/2020,16-Sep,9,38,Wed,2020,Community Board 12 Meeting,Marlon,Yvonne Reddick,NO,7:00 PM,NO,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,MarlonYvonne ReddickSep-167:00 PM,FALSE,FALSE,
3041,3041,9/17/2020,17-Sep,9,38,Thu,2020,110th  Precinct Community Council,Cathleen,Al Perna,NO,19:00,Cathleen,115th Precinct Parking lot,"[('115th', 'Recipient'), ('Precinct', 'Recipient'), ('Parking', 'Recipient'), ('lot', 'Recipient')]","[('115th', 'Recipient'), ('Precinct', 'Recipient'), ('Parking', 'Recipient'), ('lot', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,CathleenAl PernaSep-1719:00,FALSE,FALSE,
3042,3042,9/17/2020,17-Sep,9,38,Thu,2020,Community Board 3,Corey,,NO,7:00 PM,,Go To Meeting,"[('Go', 'Recipient'), ('To', 'Recipient'), ('Meeting', 'Recipient')]","[('Go', 'Recipient'), ('To', 'Recipient'), ('Meeting', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,CoreySep-177:00 PM,FALSE,FALSE,
3043,3043,9/17/2020,17-Sep,9,38,Thu,2020,Shooting Response Event,Dan,Rock Safe Streets,NO,5:30 PM,Dan,29-40 Rockaway Beach Blvd,"[('29-40', 'AddressNumber'), ('Rockaway', 'StreetName'), ('Beach', 'StreetName'), ('Blvd', 'StreetNamePostType')]","[('29-40', 'AddressNumber'), ('Rockaway', 'StreetName'), ('Beach', 'StreetName'), ('Blvd', 'StreetNamePostType')]",29-40 Rockaway Beach Blvd,,Queens,New York,New York City,40.581551,-73.829821,0.8,Queens County,TIGER/Line® dataset from the US Census Bureau,No Review Needed,FALSE,,DanRock Safe StreetsSep-175:30 PM,FALSE,FALSE,
3044,3044,9/21/2020,21-Sep,9,39,Mon,2020,113th  Precinct Community Council,Cathleen,NYPD,NO,18:00,,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,CathleenNYPDSep-2118:00,FALSE,FALSE,
3045,3045,9/21/2020,21-Sep,9,39,Mon,2020,Community Board 13,Rodley,,NO,7:30 PM,,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,RodleySep-217:30 PM,FALSE,FALSE,
3046,3046,9/24/2020,24-Sep,9,39,Thu,2020,Community Board 7,Tara,CB 7,NO,11:00,,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,TaraCB 7Sep-2411:00,FALSE,FALSE,
3047,3047,9/24/2020,24-Sep,9,39,Thu,2020,Build the Block 113 C,Cathleen,Cathleen,NO,5:30 PM,Cathleen,St. Albans Park,"[('St.', 'BuildingName'), ('Albans', 'BuildingName'), ('Park', 'BuildingName')]","[('St.', 'BuildingName'), ('Albans', 'BuildingName'), ('Park', 'BuildingName')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,CathleenCathleenSep-245:30 PM,FALSE,FALSE,
3048,3048,9/24/2020,24-Sep,9,39,Thu,2020,AABANY Prosecutors COmmittee Hiring Webinar REcruiting Asian Prosecutors,Dave,AABANY,NO,7:00 PM,,Zoom,"[('Zoom', 'Recipient')]","[('Zoom', 'Recipient')]",,,Queens,New York,New York City,,,1,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,TRUE,,DaveAABANYSep-247:00 PM,FALSE,FALSE,
3049,3049,9/25/2020,25-Sep,9,39,Fri,2020,Sheltering Arms Shooting Response,Dan,Rosaling Mason,NO,17:00,,84th Street Rockaway Beach Blvd.,"[('84th', 'AddressNumber'), ('Street', 'StreetName'), ('Rockaway', 'StreetName'), ('Beach', 'StreetName'), ('Blvd.', 'StreetNamePostType')]","[('84th', 'AddressNumber'), ('Street', 'StreetName'), ('Rockaway', 'StreetName'), ('Beach', 'StreetName'), ('Blvd.', 'StreetNamePostType')]",84th Street Rockaway Beach Blvd.,,Queens,New York,New York City,40.5831371,-73.8226618,0.9,New York County,TIGER/Line® dataset from the US Census Bureau,Manual Review,FALSE,,DanRosaling MasonSep-2517:00,FALSE,FALSE,"[40.5831371, -73.8226618]"
